source_name,target_page_type,target_route_pattern,what_to_add,data_fields_needed,already_live,gap,priority,risk,stage_recommendation
college_scorecard,/scholarships/[state],/scholarships/{state},State summary of college affordability among matched schools,"school_name,state,tuition_in_state,avg_net_price,student_size",partial,No aggregate school affordability summary on state scholarship pages,medium,medium,Wave 1 static JSON extension
college_scorecard,/scholarships/[state]/[university],/scholarships/{state}/{university},Richer school cost/outcomes card and source year,"unit_id,tuition_in_state,tuition_out_of_state,avg_net_price,completion_rate,median_earnings,data_year",yes,Current card is compact and has no source-year line or stronger unit_id join,high,medium,Wave 1 refine existing block
college_scorecard,/providers/[id],/providers/{id},Provider school identity and affordability context,"school_name,state,website,tuition,net_price,earnings,completion_rate",yes,Foundation/non-school providers are hidden because Scorecard matching is school-only,high,medium,Wave 1 provider enrichment
college_scorecard,/resources/[slug],/resources/{slug},School-specific examples for college scholarship guides,"school_name,state,tuition,net_price,earnings,completion_rate",partial,Only strict school/state contexts show; generic guides lack curated examples,medium,low,Wave 2 content clusters
college_scorecard,/essays/[slug],/essays/{slug},Data-backed school example for need/career essays when topic permits,"school_name,state,net_price,tuition,completion_rate",partial,Generic essays are correctly hidden; no curated examples,medium,low,Wave 2 content clusters
census_acs,/compare/states,/compare/states,Hub teaser stats for income/population coverage,"state,population,median_household_income",partial,Hub has coverage teaser but not state table/sort,medium,low,Wave 1 chart/stat block
college_scorecard,/compare/universities,/compare/universities,Hub teaser and sortable preview using school affordability/outcome coverage,"school_name,state,tuition_in_state,avg_net_price,median_earnings,completion_rate",partial,Hub has coverage teaser but no data-backed preview slices,medium,medium,Wave 1 hub enrichment
census_acs,/compare/states/[slug],/compare/states/{stateA}-vs-{stateB},Keep income/population and add methodology/source-year line,"median_household_income,population,data_year",yes,Source-year detail is sparse,medium,low,Wave 1 polish existing block
hud_fmr,/scholarships/[state],/scholarships/{state},Rent planning stat block and optional 1BR/2BR toggle,"hud_fmr_1br,hud_fmr_2br,year,state",yes,Current sidebar is compact and not rent-specific,medium,low,Wave 1 chart/stat block
mit_living_wage,/resources/[slug],/resources/{slug},Cost-of-living example snippets for financial need/international student guides,"living_wage_single_adult,state,county,release_date",partial,Only state context card exists; no narrative examples,high,low,Wave 2 financial need cluster
bls_state_oes,/essays/[slug],/essays/{slug},Career-goals essay labor-market context examples,"state,occupation,annual_median_wage,employment",partial,BLS is visible in state cards but not essay-specific blocks,medium,low,Wave 2 essay context
bls_metro,future city pages,/scholarships/{state}/{city} or /locations/{state}/{city},Metro wage context for student affordability and local planning,"metro,occupation,annual_median_wage,employment,location_quotient",no,City pages do not exist and BLS metro is not in static output,high,medium,Wave 1/2 after city-page decision
