source_name,input_path,exists,format,size_mb,estimated_rows,read_method,will_use_now,reason
wdoms_us_medical_schools,C:\dev\adek\customer_package\medresidency_data_package_2026-05-29\04_data_deliverable\03_newly_collected_sources\wdoms_us_medical_schools\normalized\wdoms_us_medical_schools.jsonl,true,jsonl,0.25,222,stream_jsonl,yes,"Base U.S. medical school directory context, aggregate fields only"
aacom_osteopathic_medical_schools,C:\dev\adek\customer_package\medresidency_data_package_2026-05-29\04_data_deliverable\03_newly_collected_sources\aacom_osteopathic_medical_schools\normalized\aacom_osteopathic_medical_schools.jsonl,true,jsonl,0.07,74,stream_jsonl,yes,Official DO school directory context; no raw map/PDF copied
lcme,C:\dev\adek\customer_package\medresidency_data_package_2026-05-29\04_data_deliverable\03_newly_collected_sources\lcme\normalized\lcme.jsonl,true,jsonl,0.07,163,stream_jsonl,yes,Official MD accreditation status context
coca,C:\dev\adek\customer_package\medresidency_data_package_2026-05-29\04_data_deliverable\02_local_normalized_sources\coca\normalized\coca.jsonl,true,jsonl,0.05,COCA local normalized,stream_jsonl,yes,Official DO accreditation status context
admit_med_school_stats,C:\dev\adek\customer_package\medresidency_data_package_2026-05-29\04_data_deliverable\03_newly_collected_sources\admit_med_school_stats\admit_med_school_stats.jsonl,true,jsonl,0.56,709,stream_jsonl_global_rows_only,yes,Only applicant count and availability context retained
hrsa_hpsa,C:\dev\adek\customer_package\medresidency_data_package_2026-05-29\04_data_deliverable\03_newly_collected_sources\hrsa_hpsa\normalized\hrsa_hpsa.jsonl,true,jsonl,461.39,163973,stream_jsonl_aggregate_state_counts,yes,State-level HPSA count only; raw rows not shipped
bls_state_oes,C:\dev\adek\customer_package\medresidency_data_package_2026-05-29\04_data_deliverable\03_newly_collected_sources\bls_state_oes\normalized\bls_state_oes.jsonl,true,jsonl,44.72,34109,stream_jsonl_selected_health_occupations,yes,State-level median wage context for health workforce topics
bls_metro,C:\dev\adek\customer_package\medresidency_data_package_2026-05-29\04_data_deliverable\01_legacy_supabase_exports\bls_metro\bls_metro.jsonl.gz,true,jsonl.gz,37.79,150176,not_read,no,D9 already handles metro wage context; D10 stays state-level
nih_reporter,C:\dev\adek\customer_package\medresidency_data_package_2026-05-29\04_data_deliverable\03_newly_collected_sources\nih_reporter\normalized\nih_reporter.jsonl,true,jsonl,8896.48,2503896,reuse_institution_research_enrichment,indirect_aggregate,Raw NIH project rows are too large and include project fields; D10 reuses D8 aggregate-only output
openalex,C:\dev\adek\customer_package\medresidency_data_package_2026-05-29\04_data_deliverable\02_local_normalized_sources\openalex\normalized\openalex.jsonl,true,jsonl,7.86,local normalized,reuse_institution_research_enrichment,indirect_aggregate,OpenAlex identity and works counts already aggregated in D8 output
ror,C:\dev\adek\customer_package\medresidency_data_package_2026-05-29\04_data_deliverable\01_legacy_supabase_exports\ror\ror.jsonl.gz,true,jsonl.gz,30.61,legacy gz export,reuse_institution_research_enrichment,indirect_aggregate,ROR identity already aggregated in D8 output
college_scorecard,C:\dev\adek\customer_package\medresidency_data_package_2026-05-29\04_data_deliverable\03_newly_collected_sources\college_scorecard\normalized\college_scorecard.jsonl,true,jsonl,5.07,6322,reuse_school_enrichment,indirect_static,Scorecard identity joins use existing static school enrichment
institution_research_enrichment,C:\dev\scholarshipstop\data\external\scholarshiptop-enrichment\institution_research_enrichment.json,true,static_json,1.72,2323,read_small_static_json,yes,D8 aggregate-only OpenAlex/ROR/NIH research context
school_enrichment,C:\dev\scholarshipstop\data\external\scholarshiptop-enrichment\school_enrichment.json,true,static_json,3.14,6197,read_small_static_json,yes,Existing Scorecard static identity layer for strict unit_id joins
state_affordability,C:\dev\scholarshipstop\data\external\scholarshiptop-enrichment\state_affordability.json,true,static_json,0.04,52,read_small_static_json,yes,State row skeleton and names
state_social_context,C:\dev\scholarshipstop\data\external\scholarshiptop-enrichment\state_social_context.json,true,static_json,0.05,52,read_small_static_json,yes,Optional future topic context; not copied into D10 outputs
