"Surface","Current index status","Recommended policy","Keep index?","Noindex?","Why","Risk","Potential traffic value","Confidence"
"Home / core","Indexable; self canonical; hreflang en/es/fr/x-default","Keep index","Yes","No","Strong entity and product positioning; useful canonical and hreflang signals.","Low","High","95"
"Scholarships hub /scholarships","Indexable; robots index/follow; self canonical; hreflang","Keep index and strengthen crawlable hub text","Yes","No","Core discovery surface and highest business relevance.","Medium","Very high","90"
"Scholarship detail EN","Indexable; in scholarships sitemap; rich schema; hreflang when localized","Quality-pass index","Yes, if quality-pass","Yes, if stale/thin/misleading","Primary long-tail inventory; needs factual metadata/source/deadline quality.","Medium","Very high","85"
"Scholarship SEO/category/hub pages","Indexable curated hub URLs; in category/seo sitemaps","Keep index for curated unique hubs","Yes","Yes for duplicate generated variants","Good topical landing pages when they have unique copy/results/FAQ.","Medium","High","85"
"Scholarship query/filter/noisy URLs","Noindex/follow patterns in code","Noindex/follow and exclude from sitemap","No","Yes","Prevents crawl waste and duplicate listing pages.","Low","Low direct; high crawl saving","95"
"Providers hub /providers","Indexable by default; self canonical; hreflang; schema","Keep index","Yes","No","Provider entity hub supports university/foundation scholarship searches.","Medium","Medium-high","85"
"Provider detail EN","Indexable when provider quality policy passes; in providers sitemap","Partial index with provider quality gate","Yes, if active/useful","Yes, if weak/duplicate/no active scholarships","Strong samples but generic descriptions and weak provider stubs are possible.","Medium","Medium-high","80"
"Provider query/pagination variants","Noindex logic for noisy listing variants; localized pagination should be verified","Noindex/follow","No","Yes","Avoid duplicate paginated/filter indexation.","Medium","Low","80"
"ES/FR provider detail","Small localized DB sitemap buckets; sampled pages index/follow","Partial index with route/sitemap parity","Yes, if localized body/title/H1 pass","Yes, if translation incomplete","Entity value is real, but sitemap should verify translated body like route gate.","Medium","Medium","70"
"Compare hub /compare","Indexable; self canonical; hreflang; filters noindex","Keep index","Yes","No for clean hub","Comparison intent can support decision-stage searches.","Medium","Medium","75"
"Static compare guides","Indexable; sampled /compare/scholarship-vs-grant useful but shallow","Keep index, improve depth","Yes","No, unless thin/duplicated","Clear query intent; should be expanded with methodology/examples.","Medium","Medium","75"
"Dynamic compare detail EN","Indexable; 1,175 compare sitemap URLs; samples 891-1626 words","Partial index with unique-data threshold","Yes, if substantial","Yes, if templated/thin","Can rank for state/university comparisons, but doorway risk exists.","High","Medium","70"
"Compare filters/query URLs","Noindex/follow in code","Noindex/follow and exclude from sitemap","No","Yes","Avoid crawl waste and duplicate compare surfaces.","Low","Low","95"
"ES/FR compare detail","Sampled index/follow but thin around 211-223 visible words","Noindex/follow until improved","No, for current thin samples","Yes","Current localized compare pilots are not deep enough for indexation.","High","Low-medium after improvement","85"
"Resources hub /resources","Indexable; self canonical; hreflang; schema","Keep index","Yes","No","Strong support hub for scholarship guidance and AI search content.","Low-medium","High","90"
"Resource filters such as /resources?cat=ai","Production sample noindex/follow; canonical /resources","Keep noindex/follow","No","Yes","Correct handling of category/filter query pages.","Low","Low direct; high crawl saving","95"
"AI resource articles","Indexable; samples 970-1360 words; AI IQ CTA suppressed","Keep index","Yes","No","Best GEO/content cluster after scholarships; answer-ready topics.","Low-medium","High","90"
"General resource articles","Indexable when published","Quality-pass index","Yes, if useful/deep","Yes, if thin/generic","Supports topical authority when source/editorial signals are clear.","Medium","Medium-high","80"
"Static ES/FR resources","Some indexable; sampled pages missing canonical/hreflang and English metadata fallback","Fix then index; noindex until fixed if needed","Not until fixed","Yes, if defects persist","Metadata/canonical/hreflang defects create poor localized signals.","High","Medium after fix","85"
"DB ES/FR resources","Small localized sitemap buckets; route gates require body but sitemap parity risk exists","Partial index with route/sitemap parity","Yes, if full translation","Yes, if incomplete","Useful, but sitemap must verify body/summary not just title/score.","Medium-high","Medium","70"
"Essays hub /essays","Indexable; self canonical; hreflang; schema","Keep index","Yes","No","High-value scholarship essay intent hub.","Medium","High","85"
"Essay examples hub /essays/examples","Indexable; self canonical; schema","Keep index and improve depth/links","Yes","No","Useful navigational/informational essay surface.","Medium","High","80"
"Static essay guides","Indexable; samples around 365-397 words","Improve; keep only if sufficiently useful","Yes after improvement","Maybe, if thin","Thin samples should be expanded to protect quality.","Medium","Medium","70"
"DB essay detail EN","11,799 URLs in sitemap; samples 2440-2917 words","Partial index with explicit essay quality gate","Yes, if unique/deep","Yes, if thin/duplicate","Strong samples but massive scale needs formal indexation control.","High","High","75"
"Private/user essay routes","Noindex/nofollow in code","Keep noindex/nofollow","No","Yes","Private/UGC/workspace pages should not enter search.","Low","None","95"
"ES/FR essay detail","Sampled index/follow but thin and English H1","Noindex/follow until localized H1/body depth pass","No for current samples","Yes","Partial translation is unsafe for SEO and GEO.","High","Medium after improvement","90"
"ES/FR home /es /fr","Indexable; self canonical; hreflang; good visible body","Keep index","Yes","No","Localized entry points are useful and mostly healthy.","Low-medium","Medium-high","85"
"ES/FR scholarships hub","Indexable; sampled English meta description fallback and low visible body","Improve; consider noindex until metadata/body are localized enough","Yes after improvement","Maybe temporarily","Localized hub should not rely on English metadata fallback.","Medium-high","Medium-high","75"
"ES/FR scholarship detail","Large localized sitemap buckets; no fallback 404 works; quality gates strongest here","Keep index with strict gates","Yes, if published quality-pass","Yes, if incomplete/stale","Good long-tail opportunity, but high crawl volume.","Medium-high","High","80"
"AI docs llms.txt / llms-full.txt","Accessible 200 text files","Keep accessible; improve llms-full detail","Yes/accessible","No","Strong AI-agent guidance and trust framing.","Low","High GEO value","90"
