source_type,source_id,source_slug,locale,status,translated_title,translated_meta_title,translated_meta_description,quality_score,source_hash
"resource_article","b2f05c94-c9b0-4dda-a0cd-598d734ef9d6","avoid-scholarship-scams-targeting-families","es","published","Cómo evitar estafas de becas que apuntan a familias","Evitar estafas de becas: guía práctica para padres (EE. UU.)","Señales de alerta, preguntas que hacer y pasos para verificar becas reales sin pagar tasas sospechosas ni compartir datos innecesarios con desconocidos.","90","1a52592bad17f7d6f246cc760a2c65a7c36cc73d0458f041a7fb936c1d0c7285"
"resource_article","b2f05c94-c9b0-4dda-a0cd-598d734ef9d6","avoid-scholarship-scams-targeting-families","fr","published","Comment éviter les arnaques aux bourses visant les familles","Éviter les arnaques aux bourses : guide pour les parents","Signaux d’alerte, questions à poser et étapes pour vérifier une vraie bourse sans payer de frais suspects ni partager trop de données personnelles.","90","1a52592bad17f7d6f246cc760a2c65a7c36cc73d0458f041a7fb936c1d0c7285"
"resource_article","31e8dcd8-3e5e-4493-84f9-bb1616a6f00b","types-of-scholarships-usa-explained","es","published","Tipos de becas en EE. UU. explicados","Tipos de becas en EE. UU. explicados: guía para estudiantes","Merito, necesidad, deportes, estudios, comunidad y más: entiende categorías comunes de becas en EE. UU. y cómo comparar requisitos en fuentes oficiales.","90","ed4ac244d71ea6a0a3d69c532c85420a794325102223cfa1f3f2aad2b1929f4b"
"resource_article","31e8dcd8-3e5e-4493-84f9-bb1616a6f00b","types-of-scholarships-usa-explained","fr","published","Types de bourses aux États-Unis expliqués","Types de bourses aux États-Unis : guide pour étudiants","Mérite, besoin financier, sport, études, engagement communautaire : comprenez les catégories courantes et comparez les critères sur les pages officielles.","90","ed4ac244d71ea6a0a3d69c532c85420a794325102223cfa1f3f2aad2b1929f4b"
"resource_article","3747ed47-0e7f-4112-a2b0-52b54bb85198","how-to-write-a-winning-scholarship-essay","es","published","Cómo escribir un ensayo de beca convincente","Ensayo de beca ganador: estructura, consejos y errores clave","Aprende a planificar, estructurar y revisar un ensayo de beca con ejemplos concretos de tu experiencia. Sin prometer premios: verifica requisitos oficiales.","90","aabda16d149dbb0392aa8878a0ada8c1e7ce483ea0d30ab63fbc8112ff410b06"
"resource_article","3747ed47-0e7f-4112-a2b0-52b54bb85198","how-to-write-a-winning-scholarship-essay","fr","published","Comment rédiger un essai de bourse convaincant","Essai de bourse : structure, conseils et erreurs à éviter","Planifiez, structurez et relisez un essai avec des exemples concrets de votre parcours. Sans promesse de prix : vérifiez les exigences officielles.","90","aabda16d149dbb0392aa8878a0ada8c1e7ce483ea0d30ab63fbc8112ff410b06"
"resource_article","cfc6ff64-6a14-4449-8388-dba727f1403e","how-to-proofread-scholarship-essay","es","published","Cómo revisar un ensayo de beca antes de enviarlo","Revisar ensayo de beca antes de enviar: guía paso a paso","Lista de revisión para claridad, gramática, tono y cumplimiento de la consigna. Mejora tu borrador sin inventar hechos ni prometer resultados.","90","9e286a9fc1de75e31afd91898a905ec21eacc0beed77751771645ff7d344856a"
"resource_article","cfc6ff64-6a14-4449-8388-dba727f1403e","how-to-proofread-scholarship-essay","fr","published","Comment relire un essai de bourse avant envoi","Relire un essai de bourse avant envoi : guide pas à pas","Checklist clarté, grammaire, ton et respect du sujet. Améliorez votre brouillon sans inventer de faits ni promettre de résultats. Info útil.","90","9e286a9fc1de75e31afd91898a905ec21eacc0beed77751771645ff7d344856a"
"resource_article","cca8338c-9b43-46d1-84c9-543b4de94a1e","how-to-write-a-thank-you-letter-after-winning-a-scholarship","es","published","Cómo escribir una carta de agradecimiento tras ganar una beca","Carta de agradecimiento tras una beca: cómo redactarla bien","Plantilla mental para agradecer a donantes o comités con tono profesional, ejemplos concretos y plazos razonables. Verifica instrucciones oficiales del prove…","90","ea31f50b11a15032551c50e27cfe7709f869a85e417e5bf7365fb8528f19c1b1"
"resource_article","cca8338c-9b43-46d1-84c9-543b4de94a1e","how-to-write-a-thank-you-letter-after-winning-a-scholarship","fr","published","Comment écrire un mot de remerciement après une bourse","Remerciement après une bourse : guide de rédaction clair","Structure pour remercier donateurs ou jurys avec ton professionnel et exemples concrets. Vérifiez format, délai et canal indiqués par le financeur.","90","ea31f50b11a15032551c50e27cfe7709f869a85e417e5bf7365fb8528f19c1b1"
