text_found,page_url,locale,section,component_or_selector,bucket,source_file_or_data,priority,requires_db_translation,recommended_fix,user_issue_ref
NEW,https://scholarshiptop.com/es/scholarships,es,scholarships,ScholarshipCard top-right badge,A,components/scholarships/ScholarshipCard.tsx,P0,false,Add card.badgeNew to scholarshipsHubUiCopy; pass locale,P0-4 scholarship cards
NEW,https://scholarshiptop.com/fr/scholarships,fr,scholarships,ScholarshipCard top-right badge,A,components/scholarships/ScholarshipCard.tsx,P0,false,Same FR strings,P0-4 scholarship cards
Award Amount,https://scholarshiptop.com/es/scholarships,es,scholarships,ScholarshipCard METRIC_LABEL,A,components/scholarships/ScholarshipCard.tsx,P0,false,Extend hubUiCopy.card with awardAmountLabel ES/FR,P0-4 scholarship cards
Requirements,https://scholarshiptop.com/es/scholarships,es,scholarships,ScholarshipCard metrics column,A,components/scholarships/ScholarshipCard.tsx,P0,false,Localize label + requirementsMetric strings,P0-4 scholarship cards
Best for: {level},https://scholarshiptop.com/es/scholarships,es,scholarships,intelligence badges row,A+B,components/scholarships/ScholarshipCard.tsx + lib/seo/scholarshipSeoQualityPolicy.ts,P0,false,Localize prefix; map getScholarshipBestForLabel by locale,P0-4 scholarship cards
Effort: {level},https://scholarshiptop.com/es/scholarships,es,scholarships,intelligence badges row,A+B,components/scholarships/ScholarshipCard.tsx,P0,false,Localize Effort prefix + difficulty levels,P0-4 scholarship cards
Source: {status},https://scholarshiptop.com/es/scholarships,es,scholarships,intelligence badges row,A+B,getScholarshipSourceStatus,P0,false,Localize Source prefix + shortLabel map,P0-4 scholarship cards
Host: Not specified,https://scholarshiptop.com/es/scholarships,es,scholarships,chip row,A,components/scholarships/ScholarshipCard.tsx,P0,false,Use hubUiCopy.notSpecified for Host chip,P0-3 citizenship
Continue your scholarship search,https://scholarshiptop.com/es/scholarships,es,scholarships,ScholarshipHubCanonicalListingFooter h2,A,components/scholarships/ScholarshipHubCanonicalSeo.tsx,P0,false,Use getScholarshipsHubUiCopy(locale).continueSearch — locale prop ignored today,P0 footer CTA
Explore →,https://scholarshiptop.com/es/scholarships,es,scholarships,hub footer CTA cards,A,components/scholarships/ScholarshipHubCanonicalSeo.tsx,P0,false,Wire continueSearch.explore + card titles/bodies from copy,P0 footer CTA
Education (category chip),https://scholarshiptop.com/es/scholarships,es,scholarships,catalog chips,B,lib/scholarships/categories display map,P1,false,Localized category display labels on cards,P0-1 categories filter
Few Requirements,https://scholarshiptop.com/es/scholarships,es,scholarships,catalog chips,B,lib/scholarships/categories,P1,false,Display-only translation,P0-1 categories filter
Graduate (chip + best-for),https://scholarshiptop.com/es/scholarships,es,scholarships,chips / best-for,B,taxonomy + getScholarshipBestForLabel,P1,false,Map education level labels ES/FR,P0-4 scholarship cards
{Scholarship title},https://scholarshiptop.com/es/scholarships,es,scholarships,card title,D,DB scholarships.title,C,false,Entity name — keep EN unless content_translations,P0-4 scholarship cards
{Description snippet},https://scholarshiptop.com/es/scholarships,es,scholarships,card body,C,DB description fields,P2,true,content_translations scholarship listing snippet,P0-4 scholarship cards
Save (category only),https://scholarshiptop.com/es/scholarships/category/stem,es,category-pilot,ScholarshipCard actions,A,app/scholarships/category/ScholarshipCategoryPageClient.tsx,P0,false,Pass hubUi.cardCopy like ScholarshipsHubPageClient,P0-4 regression
Award Amount (category),https://scholarshiptop.com/es/scholarships/category/stem,es,category-pilot,ScholarshipCard,A,components/scholarships/ScholarshipCard.tsx,P0,false,Same as hub P0 card bundle,category pilot regression
View Profile,https://scholarshiptop.com/es/providers,es,providers,ProvidersHubCard CTA,A,components/providers/ProvidersHubCard.tsx,P0,false,Add providersHubUiCopy.viewProfile ES/FR,P0-5 provider cards
