route,file,route_type,route_type_label,english_status,es_route_exists,fr_route_exists,same_production_template,translated_visible_ui,language_switcher,localized_links,index_noindex,in_sitemap,hreflang,db_backed,risk_level,recommended_action
/,app/page.tsx + app/[locale]/[[...slugPath]]/page.tsx,A,Public SEO static,live,true,true,yes (HomePageContent),full (pilot static),yes,yes,index,"locale-es-*, locale-fr-* pilot buckets","en, en, es, fr, x-default",false,none,maintain
/about,app/about/page.tsx + localized pilot,A,Public SEO static,live,true,true,yes (TrustPageTemplate),full (pilot static),yes,yes,index,"locale-es-*, locale-fr-* pilot buckets","en, en, es, fr, x-default",false,none,maintain
/scholarships,app/scholarships/[[...slugPath]]/page.tsx + app/[locale]/scholarships/[[...slugPath]]/page.tsx,A,Public SEO hub (DB catalog UI),live,true,true,yes (ScholarshipsSlugPathPageBody),full (pilot static),yes,partial (Zone C detail links),index,"locale-es-*, locale-fr-* pilot buckets","en, en, es, fr, x-default",true,medium,Stage 3B taxonomy labels; Stage 4 DB body
/scholarships/hub/*,app/scholarships/[[...slugPath]]/page.tsx,A,Public SEO hub tabs,live,true,true,yes (ES/FR via [locale]/scholarships),EN only,yes,partial (Zone C cards),index,n/a,none,true,medium,maintain UI copy; DB cards remain EN
/scholarships/category/[slug],app/scholarships/category/[slug]/page.tsx,B,Public SEO DB-backed,live,false,false,EN only,EN body; partial hub chrome on ES/FR hubs only,no,EN only,index (EN),EN sitemap buckets only,EN only,true,high,Stage 4 DB translation pilot
/scholarships/[state]/[university],app/scholarships/[state]/[university]/page.tsx,B,Public SEO DB-backed,live,false,false,EN only,EN body; partial hub chrome on ES/FR hubs only,no,EN only,index (EN),EN sitemap buckets only,EN only,true,high,Stage 4 DB translation pilot
/scholarships/[[...slugPath]] (detail/SEO long-tail),app/scholarships/[[...slugPath]]/page.tsx,B,Public SEO DB-backed,live,false,false,EN only (ES/FR hub route for /scholarships only),EN body; partial hub chrome on ES/FR hubs only,no on detail,EN only,"index (EN, quality-gated)",EN sitemap buckets only,EN only,true,high,Stage 4 DB translation pilot
/essays,app/essays/page.tsx + localized pilot,A,Public SEO hub,live,true,true,yes (EssaysIndexPageContent),full (pilot static),yes,yes (static guides),index,"locale-es-*, locale-fr-* pilot buckets","en, en, es, fr, x-default",true,low,maintain; DB grid hidden on ES/FR
/essays/{static-guide-slugs},app/essays/[slug]/page.tsx + staticTranslations,A,Public SEO static guide,live,false,false,yes,EN only,yes,yes,index,n/a,none,false,none,maintain
/essays/[slug] (DB),app/essays/[slug]/page.tsx,B,Public SEO DB-backed,live,false,false,EN only,EN body; partial hub chrome on ES/FR hubs only,no,EN only,index (EN),EN sitemap buckets only,EN only,true,high,Stage 4 DB translation pilot
