route,slug,title,page_type,detected_topic,exists,current_context,has_d10_context,recommended_action,risk,notes
/resources/medical-scholarships-guide,medical-scholarships-guide,Medical Scholarships Guide,static resource,medical/pre-med/nursing/public health,yes,PremedTopicContextCard + guide body,yes,Expand planning sections + cluster links,high,Primary D11 hub page
/essays/career-goals,career-goals,Career Goals Scholarship Essay Guide,static essay,healthcare career goals,yes,PremedTopicContextCard + essay guide,yes,Add healthcare planning section + cluster links,high,D10 smoke confirmed expected context
/scholarships/category/medical,medical,Medicine scholarships,category,medicine/healthcare/pre-med,yes,Category SEO + link to medical guide,partial,Optional compact premed card later,high,No D11 code change in this pass
/scholarships/nursing,nursing,Nursing Scholarships,category long-tail,nursing/RN,yes,Listing only,no,Defer HealthWorkforce wiring until state signal explicit,medium,Programmatic state variants exist
/resources/stem-scholarships-guide,stem-scholarships-guide,STEM Scholarships Guide,static resource,STEM + healthcare majors,yes,Static guide only,no,Optional pre-med topic later,medium,Mentions healthcare majors in body
/providers/loyola-university-chicago,loyola-university-chicago,Loyola University Chicago,provider,university provider context,yes,College/provider + city rent; no med school card,yes,Keep strict med-school gating,medium,D10 smoke PASS — no Stritch card
/resources/how-to-find-scholarships,how-to-find-scholarships,How to Find Scholarships,static resource,generic search,yes,None,no,Stay clean,low,D10 validated clean
/resources/best-scholarship-websites,best-scholarship-websites,Best Scholarship Websites,resource article,generic list,yes,None,no,Stay clean + suppress card,low,D10 validated clean
/essays/financial-need,financial-need,Financial Need Essay Guide,static essay,generic financial need,yes,None,no,Stay clean,low,Nursing mentioned only in examples
/resources/best-scholarship-websites-by-category,best-scholarship-websites-by-category,Best Scholarship Websites by Category,resource article,medical in title,yes,Dynamic card risk before suppress,yes,Suppress healthcare card via slug allowlist,medium,Comparison article not healthcare planning
/resources/best-scholarship-sites-for-women-stem-medical-law,best-scholarship-sites-for-women-stem-medical-law,Best Scholarship Sites for Women STEM Medical Law,resource article,pre-med/medical in title,yes,Dynamic card risk before suppress,yes,Suppress healthcare card via slug allowlist,medium,Comparison article not healthcare planning
/scholarships/texas,texas,Texas scholarships,state listing,generic state,yes,State listing only,no,Stay clean,low,D10 validated clean
/compare/universities/university-of-massachusetts-amherst-vs-university-of-south-florida,university-of-massachusetts-amherst-vs-university-of-south-florida,UMass Amherst vs USF compare,compare,generic university compare,yes,City rent only,no,Stay clean,low,D10 validated clean
