"id","surface","file_path","string_key","en_text","category","translation_method","in_scope_v1","notes"
"iq-meta-home","SEO metadata","app/iq/page.tsx","metadata.title","Online IQ Test | IQ-Style Score and Cognitive Profile","seo_meta","dictionary","yes","canonical https://iq.scholarshiptop.com/"
"iq-landing-hero","Landing marketing","app/iq/ScholarshipIqTestClient.tsx","page body","(40+ marketing strings: hero, features, FAQ snippets, CTAs)","static_ui","dictionary","yes","General funnel landing only"
"iq-assess-intro","Assessment intro","components/iq/AssessmentEngine.tsx","AssessmentIntro","Measure your IQ score and cognitive pattern.","static_ui","dictionary","yes","Summary cards + Start IQ Test button"
"iq-progress","Progress UI","components/iq/AssessmentEngine.tsx","ProgressHeader","Step {n} of 30; Time left; Start again","static_ui","dictionary","yes","Analyzer messages array (5 strings)"
"iq-paywall","Paywall chrome","components/iq/StandardIqPaywall.tsx","headline","Your cognitive report has been generated.","auth_paywall","dictionary_ui_only","yes","Lemon redirect unchanged; $9.99 copy localizable"
"iq-report","Unlocked report","components/iq/UnlockedIqReport.tsx","template","IQ Report Unlocked; domain chart; archetype from result JSON","result_template","dictionary","yes","Archetype strings stored in JSON at scoring time"
"iq-report-token","Token report page","app/iq/report/[token]/page.tsx","metadata + not found","Your IQ Report; Report not found","seo_meta","dictionary","yes","robots index:false already"
"iq-checkout-server","Checkout server errors","app/actions/iqReportCheckout.ts","errors","Enter a valid email address.; Could not prepare your report checkout.","auth_paywall","dictionary_errors_only","yes","Lemon product description HTML English today"
"iq-email-step","Email capture","app/iq/GeneralIqFunnelClient.tsx","email validation","Enter a valid email address.","static_ui","dictionary","yes","Reuses CountryEmailSignupStep (main onboarding strings)"
"iq-footer","Product footer","components/iq/IqProductFooter.tsx","iqFooterLinks","Home; About; Help; Privacy Policy; Terms; Refund; FAQ","static_ui","dictionary","yes","href rewrite on subdomain: /iq -> /"
"iq-navbar","Site chrome","components/ui/Navbar/Navlinks.tsx","isIqProductPage","Minimal IQ logo nav (English labels if any)","static_ui","dictionary","yes","Root layout still mounts main Navbar + SiteFooter"
"iq-legal-bulk","Legal pages","app/iq/{about,help,faq,privacy-policy,terms,refund-policy}/page.tsx","sections","(long English legal copy per page)","static_ui","dictionary","phase2","6 pages; can ship after core funnel"
"iq-contextual","Contextual assessment funnel","app/iq/assessment/ContextualAssessmentFunnelClient.tsx","multi-phase UI","(1700+ lines: intro, email, qualification, strategy paywall)","static_ui","dictionary","phase2","Uses generateStrategy() English templates"
"iq-slug-landings","Intent SEO landings","app/iq/[slug]/page.tsx","5 slugs","scholarship-match; provider-research; college-fit; essay-prep; deadline-strategy","static_ui","dictionary","phase2","Large per-slug marketing + metadata"
"iq-strategy-engine","Strategy recommendation","lib/strategyRecommendationEngine.ts","generateStrategy","Template sentences with profile labels (English)","dynamic_generated","dictionary","phase2","Rule-based not OpenAI; profile labels from EN constants"
"iq-archetype-scoring","Scoring labels","components/iq/assessmentScoring.ts","lockedArchetype","Spatial Architect; Quantitative Analyst; Strategic Reasoner","result_template","dictionary","yes","Persisted in assessment_result JSON and paywall"
"iq-domain-pattern_abstract","Domain label","components/iq/assessmentScoring.ts","domainLabels.pattern_abstract","Abstract Reasoning","result_template","dictionary","yes","Question chips + report chart"
"iq-domain-numeric_reasoning","Domain label","components/iq/assessmentScoring.ts","domainLabels.numeric_reasoning","Numerical Logic","result_template","dictionary","yes","Question chips + report chart"
"iq-domain-verbal_logic","Domain label","components/iq/assessmentScoring.ts","domainLabels.verbal_logic","Verbal Reasoning","result_template","dictionary","yes","Question chips + report chart"
"iq-domain-spatial_visual","Domain label","components/iq/assessmentScoring.ts","domainLabels.spatial_visual","Spatial Intelligence","result_template","dictionary","yes","Question chips + report chart"
"iq-domain-prioritization_decision","Domain label","components/iq/assessmentScoring.ts","domainLabels.prioritization_decision","Decision Speed","result_template","dictionary","yes","Question chips + report chart"
"iq-q-AR01","Question bank","lib/cognitiveAssessmentQuestions.ts","AR01.prompt","Which option completes the matrix?","question_bank","localized_question_bank","yes","options: A: Left-pointing outline arrow | B: Left-pointing solid arrow | C: Down-pointing outline arrow | D: Up-pointing outline arrow"
"iq-q-AR01-vis","Question visual","lib/cognitiveAssessmentQuestions.ts","AR01.visual","Arrow rotation matrix / Track rotation across rows and fill style down columns.","question_bank","dictionary","yes","Visual kind SVG; localize title/caption only"
"iq-q-AR01-exp","Question explanation","lib/cognitiveAssessmentQuestions.ts","AR01.explanation","Across each row, the arrow rotates 90 degrees clockwise. Down each column, fill alternates outline, solid, outline.","question_bank","dictionary","yes","Post-answer copy if surfaced"
"iq-q-NL01","Question bank","lib/cognitiveAssessmentQuestions.ts","NL01.prompt","Find the next number: 2, 6, 12, 20, 30, ?","question_bank","localized_question_bank","yes","options: A: 38 | B: 40 | C: 42 | D: 44"
"iq-q-NL01-exp","Question explanation","lib/cognitiveAssessmentQuestions.ts","NL01.explanation","The gaps are +4, +6, +8, +10, so the next gap is +12.","question_bank","dictionary","yes","Post-answer copy if surfaced"
"iq-q-SP01","Question bank","lib/cognitiveAssessmentQuestions.ts","SP01.prompt","Which option shows the same object after rotation?","question_bank","localized_question_bank","yes","options: A: Mirror image | B: True 90-degree rotation | C: 180-degree rotation with marker moved | D: Altered spacing"
"iq-q-SP01-vis","Question visual","lib/cognitiveAssessmentQuestions.ts","SP01.visual","Rotated L-shape / Preserve handedness and the dot location while rotating.","question_bank","dictionary","yes","Visual kind SVG; localize title/caption only"
"iq-q-SP01-exp","Question explanation","lib/cognitiveAssessmentQuestions.ts","SP01.explanation","The correct option keeps the same handedness and marker position after rotation. Mirror choices reverse the object.","question_bank","dictionary","yes","Post-answer copy if surfaced"
"iq-q-VR01","Question bank","lib/cognitiveAssessmentQuestions.ts","VR01.prompt","All larns are mips. All mips are tevs. Which must be true?","question_bank","localized_question_bank","yes","options: A: All larns are tevs. | B: All tevs are larns. | C: No larns are tevs. | D: Some tevs are not mips."
"iq-q-VR01-exp","Question explanation","lib/cognitiveAssessmentQuestions.ts","VR01.explanation","If larns are inside mips and mips are inside tevs, then larns are inside tevs.","question_bank","dictionary","yes","Post-answer copy if surfaced"
"iq-q-DS01","Question bank","lib/cognitiveAssessmentQuestions.ts","DS01.prompt","You have 5 min. A = 4 pts/2 min, B = 7 pts/3 min, C = 3 pts/1 min. Best total?","question_bank","localized_question_bank","yes","options: A: A + C = 7 | B: B + C = 10 | C: A + B = 11 | D: A + B + C = 14"
"iq-q-DS01-exp","Question explanation","lib/cognitiveAssessmentQuestions.ts","DS01.explanation","A and B exactly fit 5 minutes and give the highest allowed score.","question_bank","dictionary","yes","Post-answer copy if surfaced"
