output_file,rows,size_kb,source_groups,current_pages_using_it,business_value,seo_geo_value,risk,still_expandable,notes
school_enrichment.json,6197,3219.7,"College Scorecard; OpenAlex; ROR","/compare/universities; /compare/universities/[slug]; /providers/[id]; /scholarships/[state]/[university]; resource/essay school context; EducationalOrganization JSON-LD",high,high,low,partial,"Core school matching layer; expand via unit_id joins and source-year polish not new raw data"
state_affordability.json,52,45.5,"Census ACS; HUD FMR; MIT Living Wage; BLS state OEWS; FBI crime aggregate; County Health availability","/compare/states; /compare/states/[slug]; /scholarships/[state]; resource/essay state cards",high,high,medium,partial,"County Health still light (counties_with_data only); FBI state-only"
city_affordability.json,2759,977.4,"US Cities/SimpleMaps; College Scorecard city; HUD FMR","Join layer for city/school resolution; scholarship university sidebars indirectly",medium,medium,low,partial,"Not user-visible alone; powers city joins until city pages approved"
location_crosswalk.json,2704,755.9,"US Cities; GeoNames; College Scorecard cities","Internal joins only (city/state/county/geocode)",medium,low,low,no,"Infrastructure file; do not surface as standalone page content"
provider_nonprofit_enrichment.json,1293,968.0,ProPublica Nonprofit Explorer,"/providers/[id] via ProviderNonprofitContext when strict name/state match succeeds",high,high,medium,yes,"1293 rows but many foundation providers unmatched (e.g. Alamo); package lacks some orgs"
institution_research_enrichment.json,2323,1765.9,"OpenAlex; ROR; NIH RePORTER aggregates","/compare/universities/[slug]; /providers/[id]; InstitutionResearchContext; medical guide indirectly",high,high,medium,partial,"NIH/OpenAlex surfaced as aggregates; not on every matched school"
state_social_context.json,52,53.1,"CDC SVI; Neighborhood Atlas ADI (aggregated)","/compare/states/[slug]; StateSocialContextBlock; scholarship state sidebars where wired",medium,high,medium,partial,"D8 closed D7 SVI/ADI gap at state level; deeper county metrics optional"
city_rent_metro_enrichment.json,2692,2733.0,"BLS metro OEWS; Zillow ZORI latest snapshot","/compare/universities/[slug]; CityRentMetroContext; provider/school rent context",high,high,medium,partial,"D9 closed D7 metro/ZORI gap; city pages would consume more"
medical_school_enrichment.json,321,266.5,"WDOMS; LCME; COCA; AACOM; admit.med aggregates","/resources/medical-scholarships-guide; MedicalSchoolContext; medical cluster",high,high,medium,partial,"Aggregate medical school directory live; no dedicated med-school route pages yet"
health_workforce_context.json,52,37.9,"HRSA HPSA aggregate; BLS healthcare occupations (state)","/resources/medical-scholarships-guide; HealthWorkforceContextBlock; premed topic cards",medium,high,medium,partial,"State HPSA aggregate only; raw HRSA rows not shipped"
premed_topic_context.json,9,11.4,"Curated index over D10 sources","/resources/medical-scholarships-guide; /essays/career-goals; PremedTopicContextCard",high,high,low,yes,"9 topics ready; nursing/pre-med standalone guides not created yet"
